goal_id,match_id,team_code,scorer_name,scorer_code,minute
1,1743391,796,Kevin Behrens,261246,1
2,1743391,796,Kevin Behrens,261246,9
3,1743391,219,Anthony Caci,321145,64
4,1743391,796,Kevin Behrens,261246,70
5,1743391,796,Milos Pantovic,298436,95
6,1743392,44,Donyell Malen,351354,88
7,1743393,37,Leroy San\xe9,144711,4
8,1743393,37,Harry Kane,83532,74
9,1743393,37,Leroy San\xe9,144711,90
10,1743393,37,Mathys Tel,422885,93
11,1743394,36,Jeremie Frimpong,392644,24
12,1743394,36,Jonathan Tah,134946,35
13,1743394,7614,Dani Olmo,261212,39
14,1743394,36,Florian Wirtz,394786,64
15,1743394,7614,Lo\xefs Openda,363618,71
16,1743395,45,Randal Kolo Muani,333542,40
17,1743396,33,Jonas Wind,353565,6
18,1743396,33,Jonas Wind,353565,27
